quantile,value,horizon,scenario_id,n_bootstrapping
0.25,4186.614582579628,17,D-2024-08-01,0
0.3,5115.106428888102,17,D-2024-08-01,0
0.35,6138.057810506506,17,D-2024-08-01,0
0.4,7792.653810186272,17,D-2024-08-01,0
0.45,9249.480440791132,17,D-2024-08-01,0
0.5,9981.102118304834,17,D-2024-08-01,0
0.55,10524.381164921302,17,D-2024-08-01,0
0.6,11208.213348869576,17,D-2024-08-01,0
0.65,12619.389261007473,17,D-2024-08-01,0
0.7,15274.510377236023,17,D-2024-08-01,0
0.75,18801.002881763496,17,D-2024-08-01,0
0.8,25004.046932448065,17,D-2024-08-01,0
0.85,28482.823018212133,17,D-2024-08-01,0
0.9,29375.66928594021,17,D-2024-08-01,0
0.95,30868.44503214521,17,D-2024-08-01,0
0.975,36280.87,17,D-2024-08-01,0
0.99,48481.96799999994,17,D-2024-08-01,0
0.01,1288.0618035198167,18,D-2024-08-01,0
0.025,1892.887571810123,18,D-2024-08-01,0
0.05,2307.901118771953,18,D-2024-08-01,0
0.1,3037.8851719286645,18,D-2024-08-01,0
0.15,3623.4371165575817,18,D-2024-08-01,0
0.2,4208.49541330831,18,D-2024-08-01,0
0.25,5322.528905720013,18,D-2024-08-01,0
0.3,6491.3794346789355,18,D-2024-08-01,0
0.35,8158.089435315374,18,D-2024-08-01,0
0.4,9393.854504773546,18,D-2024-08-01,0
0.45,10619.418280597181,18,D-2024-08-01,0
0.5,11317.005430690597,18,D-2024-08-01,0
0.55,12303.158737263555,18,D-2024-08-01,0
0.6,13474.885047960131,18,D-2024-08-01,0
0.65,16556.462454145832,18,D-2024-08-01,0
0.7,19017.16049191186,18,D-2024-08-01,0
0.75,23918.91354560101,18,D-2024-08-01,0
0.8,29455.289243127485,18,D-2024-08-01,0
0.85,31132.989252314215,18,D-2024-08-01,0
0.9,31982.95086714055,18,D-2024-08-01,0
0.95,33087.678233945335,18,D-2024-08-01,0
0.975,37459.43000000001,18,D-2024-08-01,0
0.99,52433.20399999994,18,D-2024-08-01,0
