quantiles,value,horizon,target_end_date,k,n_bootstrapping
0.8500000000000001,32201.9,20,2024-12-28,0.05,0
0.9000000000000001,35124.72000000001,20,2024-12-28,0.05,0
0.9500000000000001,36776.99,20,2024-12-28,0.05,0
0.975,41339.39454490864,20,2024-12-28,0.05,0
0.99,47731.21199999993,20,2024-12-28,0.05,0
0.01,9627.128,21,2025-01-04,0.05,0
0.025,9755.275,21,2025-01-04,0.05,0
0.05,10329.2,21,2025-01-04,0.05,0
0.1,10919.84,21,2025-01-04,0.05,0
0.15000000000000002,15952.255384977025,21,2025-01-04,0.05,0
0.2,19820.04,21,2025-01-04,0.05,0
0.25,21914.05,21,2025-01-04,0.05,0
0.3,23496.48,21,2025-01-04,0.05,0
0.35000000000000003,24869.67,21,2025-01-04,0.05,0
0.4,25791.52,21,2025-01-04,0.05,0
0.45,26344.9,21,2025-01-04,0.05,0
0.5,26622.0,21,2025-01-04,0.05,0
0.55,26938.61,21,2025-01-04,0.05,0
0.6000000000000001,28319.680000000008,21,2025-01-04,0.05,0
0.6500000000000001,29309.017054174547,21,2025-01-04,0.05,0
0.7000000000000001,30955.3,21,2025-01-04,0.05,0
0.7500000000000001,33473.956448227196,21,2025-01-04,0.05,0
0.8,36448.380000000005,21,2025-01-04,0.05,0
0.8500000000000001,38676.76,21,2025-01-04,0.05,0
0.9000000000000001,41055.660000000025,21,2025-01-04,0.05,0
0.9500000000000001,42546.68,21,2025-01-04,0.05,0
0.975,43446.86,21,2025-01-04,0.05,0
0.99,47327.91399999998,21,2025-01-04,0.05,0
0.01,8404.13,22,2025-01-11,0.05,0
0.025,8679.465,22,2025-01-11,0.05,0
0.05,9146.3,22,2025-01-11,0.05,0
0.1,9612.380000000001,22,2025-01-11,0.05,0
0.15000000000000002,18478.052325480232,22,2025-01-11,0.05,0
0.2,21394.58,22,2025-01-11,0.05,0
0.25,22595.5,22,2025-01-11,0.05,0
0.3,22900.8,22,2025-01-11,0.05,0
0.35000000000000003,23163.83,22,2025-01-11,0.05,0
0.4,24543.38,22,2025-01-11,0.05,0
0.45,25258.98,22,2025-01-11,0.05,0
0.5,26274.5,22,2025-01-11,0.05,0
0.55,28581.465928965055,22,2025-01-11,0.05,0
0.6000000000000001,30260.380000000005,22,2025-01-11,0.05,0
0.6500000000000001,31054.610225006658,22,2025-01-11,0.05,0
0.7000000000000001,33104.37164429532,22,2025-01-11,0.05,0
0.7500000000000001,34400.75000000001,22,2025-01-11,0.05,0
0.8,37429.670155127074,22,2025-01-11,0.05,0
0.8500000000000001,40964.05,22,2025-01-11,0.05,0
0.9000000000000001,42167.780000000006,22,2025-01-11,0.05,0
0.9500000000000001,43525.34,22,2025-01-11,0.05,0
0.975,44517.82,22,2025-01-11,0.05,0
