horizon,k_perc,round,wis_adaptive,wis_baseline,wis_flusight,wis_adaptive_baseline,wis_adaptive_flusight
2,25,15,11203.221677502652,14564.048695652176,4247.735217391304,0.7692381364288602,2.6374576342785736
2,25,16,7538.88085271531,13438.056956521736,3420.3865217391303,0.5610097409995388,2.2041020232070405
2,25,17,4751.722697350755,11704.576521739127,2607.637391304348,0.4059713470645685,1.8222329198055904
2,25,18,2685.748453464346,9101.738695652173,2029.1856521739128,0.2950808129382253,1.3235597494921385
2,25,19,1609.2721048739647,7393.416956521736,2169.2856521739122,0.2176628363228487,0.7418442579294526
2,25,20,1134.5100434782607,5171.404347826087,1157.6521739130435,0.2193814227570847,0.9800094268759858
2,25,21,978.3211347826085,3787.555652173912,896.4869565217393,0.25829881449295394,1.0912831778148517
2,25,22,1015.1821347826084,2479.9343478260867,693.0504347826087,0.4093584717968515,1.464802680776102
2,25,23,804.2830782608695,1867.193043478261,540.9982608695652,0.43074447019287726,1.486664812874107
2,25,24,751.1972391304346,1666.2821739130434,561.7721739130435,0.4508223462334397,1.3371919685838909
2,25,25,680.9476913043478,1480.4273913043478,440.86086956521734,0.45996696312433866,1.5445863725122786
2,50,4,3875.8046487403885,9200.22652173913,6382.499130434783,0.42127274144634214,0.6072550218234599
2,50,5,8795.6291,19672.90260869565,16141.202173913043,0.44709361271946874,0.5449178447324852
2,50,6,15338.503547826085,27844.322173913046,22419.511304347827,0.5508664729571515,0.6841586928280404
2,50,7,8956.452629955924,16144.59391304348,9872.213913043479,0.5547648134227681,0.9072385088943806
2,50,8,9727.641734782603,5282.515217391304,5634.332608695652,1.8414791693844779,1.7264940518012037
2,50,9,15944.383635368496,2980.934347826087,5521.322608695652,5.348787250882024,2.887783374631531
2,50,10,26737.26410530422,18449.836086956522,24453.896956521738,1.4491870810823442,1.0933743669911686
2,50,12,22322.72064181065,7678.142173913043,11716.178260869563,2.9073075408337004,1.9052902870525188
2,50,13,16976.75815101967,7194.785217391304,5367.025652173912,2.359592070932609,3.163159494895136
2,50,14,14145.657980592077,15106.326086956522,5151.371739130435,0.9364062379671568,2.745998288793637
2,50,15,10590.638784945586,14564.048695652176,4247.735217391304,0.7271768315432249,2.493243632885785
2,50,16,7508.55032800927,13438.056956521736,3420.3865217391303,0.5587526792231099,2.1952344509273387
2,50,17,5194.073755069037,11704.576521739127,2607.637391304348,0.4437643468280965,1.9918696412275887
